,y18,y19,y20,min
11102,16.0,15.0,15.0,15.0
11201,15.0,15.0,16.0,15.0
12101,18.0,15.0,15.0,15.0
12201,15.0,15.0,15.0,15.0
12301,15.0,15.0,15.0,15.0
12401,15.0,16.0,16.0,15.0
12402,15.0,15.0,15.0,15.0
13101,15.0,15.0,15.0,15.0
13201,15.0,15.0,15.0,15.0
13202,16.0,15.0,15.0,15.0
13203,15.0,16.0,15.0,15.0
13204,15.0,15.0,15.0,15.0
13305,45.0,45.0,15.0,15.0
13401,15.0,15.0,15.0,15.0
13501,16.0,15.0,15.0,15.0
13601,15.0,15.0,15.0,15.0
13701,15.0,15.0,15.0,15.0
14103,30.0,30.0,16.0,16.0
14201,15.0,15.0,15.0,15.0
14301,15.0,15.0,15.0,15.0
15101,15.0,15.0,17.0,15.0
15201,15.0,15.0,15.0,15.0
16101,15.0,15.0,15.0,15.0
16201,19.0,15.0,15.0,15.0
16301,15.0,15.0,15.0,15.0
21001,15.0,15.0,15.0,15.0
22103,31.0,30.0,15.0,15.0
22201,15.0,15.0,15.0,15.0
22202,15.0,15.0,15.0,15.0
23101,15.0,15.0,15.0,15.0
23201,15.0,15.0,15.0,15.0
23301,15.0,15.0,15.0,15.0
23401,15.0,15.0,15.0,15.0
24101,15.0,15.0,15.0,15.0
24203,31.0,30.0,15.0,15.0
24301,15.0,15.0,15.0,15.0
24402,30.0,15.0,15.0,15.0
24404,30.0,30.0,15.0,15.0
25101,15.0,15.0,15.0,15.0
25201,15.0,15.0,15.0,15.0
25301,15.0,15.0,15.0,15.0
25401,16.0,15.0,18.0,15.0
25402,15.0,15.0,16.0,15.0
26101,15.0,15.0,15.0,15.0
26102,15.0,15.0,15.0,15.0
26201,15.0,15.0,16.0,15.0
26301,15.0,15.0,15.0,15.0
26401,15.0,16.0,15.0,15.0
27101,16.0,15.0,15.0,15.0
27201,15.0,15.0,16.0,15.0
28101,15.0,15.0,15.0,15.0
28201,15.0,15.0,15.0,15.0
28202,15.0,15.0,15.0,15.0
28203,15.0,15.0,15.0,15.0
28204,15.0,15.0,15.0,15.0
28301,15.0,15.0,17.0,15.0
28302,15.0,15.0,15.0,15.0
28401,15.0,15.0,17.0,15.0
28402,15.0,15.0,15.0,15.0
29101,15.0,15.0,15.0,15.0
29201,15.0,15.0,15.0,15.0
29202,15.0,15.0,15.0,15.0
29303,30.0,15.0,15.0,15.0
29401,16.0,15.0,15.0,15.0
29501,15.0,15.0,15.0,15.0
29901,15.0,15.0,15.0,15.0
29902,15.0,15.0,15.0,15.0
29903,15.0,15.0,15.0,15.0
29904,15.0,15.0,15.0,15.0
31101,18.0,15.0,15.0,15.0
31102,16.0,15.0,15.0,15.0
31201,15.0,15.0,15.0,15.0
31301,15.0,15.0,15.0,15.0
31302,15.0,15.0,15.0,15.0
31401,15.0,15.0,15.0,15.0
31501,15.0,15.0,15.0,15.0
32101,15.0,15.0,15.0,15.0
32201,15.0,15.0,16.0,15.0
32301,15.0,15.0,15.0,15.0
32302,15.0,15.0,16.0,15.0
32401,15.0,15.0,15.0,15.0
32501,15.0,15.0,15.0,15.0
33201,15.0,15.0,15.0,15.0
33202,15.0,15.0,15.0,15.0
110101,15.0,15.0,15.0,15.0
110102,15.0,17.0,15.0,15.0
110103,15.0,15.0,15.0,15.0
110104,15.0,16.0,15.0,15.0
110105,15.0,15.0,16.0,15.0
110201,15.0,15.0,15.0,15.0
110202,15.0,15.0,16.0,15.0
110203,15.0,15.0,15.0,15.0
121101,15.0,16.0,15.0,15.0
121102,15.0,15.0,15.0,15.0
121103,15.0,13.0,15.0,13.0
121104,16.0,17.0,15.0,15.0
121105,16.0,15.0,15.0,15.0
121201,15.0,15.0,15.0,15.0
122101,16.0,15.0,15.0,15.0
122102,15.0,15.0,15.0,15.0
122103,17.0,15.0,15.0,15.0
122104,15.0,15.0,15.0,15.0
122105,15.0,15.0,15.0,15.0
122201,15.0,15.0,15.0,15.0
122301,15.0,15.0,15.0,15.0
131101,15.0,15.0,15.0,15.0
131201,15.0,15.0,15.0,15.0
131202,15.0,15.0,15.0,15.0
131203,15.0,15.0,15.0,15.0
132002,15.0,15.0,15.0,15.0
132004,30.0,15.0,15.0,15.0
133101,16.0,14.0,15.0,14.0
133201,15.0,15.0,15.0,15.0
133202,15.0,15.0,15.0,15.0
133205,15.0,15.0,15.0,15.0
133301,15.0,15.0,15.0,15.0
133302,16.0,15.0,15.0,15.0
133901,13.0,15.0,15.0,13.0
134101,15.0,15.0,15.0,15.0
134102,15.0,15.0,15.0,15.0
134201,15.0,15.0,15.0,15.0
134301,16.0,15.0,15.0,15.0
134302,15.0,15.0,15.0,15.0
134303,15.0,15.0,15.0,15.0
134401,15.0,15.0,15.0,15.0
135001,15.0,15.0,15.0,15.0
136001,15.0,15.0,15.0,15.0
136002,15.0,15.0,15.0,15.0
140101,15.0,15.0,22.0,15.0
140201,15.0,15.0,15.0,15.0
140204,15.0,15.0,15.0,15.0
140205,15.0,15.0,15.0,15.0
140206,15.0,15.0,15.0,15.0
140207,30.0,15.0,15.0,15.0
140301,15.0,15.0,15.0,15.0
140304,15.0,15.0,15.0,15.0
140305,16.0,15.0,15.0,15.0
140306,31.0,15.0,15.0,15.0
140401,15.0,15.0,15.0,15.0
140501,15.0,15.0,15.0,15.0
140502,15.0,15.0,15.0,15.0
140503,15.0,15.0,15.0,15.0
140601,16.0,15.0,16.0,15.0
140602,15.0,15.0,15.0,15.0
140701,15.0,15.0,15.0,15.0
151101,15.0,15.0,15.0,15.0
151102,15.0,15.0,16.0,15.0
151105,15.0,15.0,15.0,15.0
151107,15.0,15.0,15.0,15.0
151108,30.0,15.0,16.0,15.0
151201,15.0,15.0,15.0,15.0
151301,15.0,15.0,15.0,15.0
152101,15.0,15.0,15.0,15.0
152201,15.0,15.0,15.0,15.0
153101,15.0,15.0,15.0,15.0
153103,15.0,15.0,15.0,15.0
153104,15.0,15.0,15.0,15.0
153105,19.0,15.0,15.0,15.0
153106,15.0,15.0,15.0,15.0
153201,15.0,15.0,15.0,15.0
153202,15.0,15.0,15.0,15.0
153203,15.0,15.0,15.0,15.0
153301,15.0,15.0,15.0,15.0
154101,16.0,15.0,15.0,15.0
154102,15.0,15.0,15.0,15.0
154103,15.0,15.0,15.0,15.0
154104,15.0,15.0,15.0,15.0
154201,15.0,15.0,15.0,15.0
155102,15.0,15.0,15.0,15.0
155103,15.0,15.0,15.0,15.0
155106,15.0,15.0,15.0,15.0
155203,30.0,15.0,15.0,15.0
155301,15.0,15.0,15.0,15.0
155302,15.0,15.0,15.0,15.0
155303,15.0,15.0,15.0,15.0
155304,15.0,15.0,15.0,15.0
155305,15.0,15.0,15.0,15.0
155306,15.0,15.0,15.0,15.0
155401,15.0,15.0,15.0,15.0
155501,15.0,15.0,15.0,15.0
156101,15.0,15.0,15.0,15.0
156201,15.0,15.0,15.0,15.0
157101,15.0,15.0,15.0,15.0
157201,18.0,15.0,15.0,15.0
158201,15.0,15.0,15.0,15.0
158401,17.0,15.0,15.0,15.0
158402,15.0,15.0,15.0,15.0
158501,15.0,15.0,15.0,15.0
159103,15.0,16.0,15.0,15.0
159104,30.0,15.0,15.0,15.0
211101,15.0,15.0,15.0,15.0
211201,15.0,15.0,15.0,15.0
212101,15.0,15.0,15.0,15.0
212201,15.0,15.0,15.0,15.0
212301,15.0,15.0,15.0,15.0
212901,15.0,15.0,15.0,15.0
213001,15.0,15.0,16.0,15.0
214101,15.0,15.0,15.0,15.0
214102,15.0,15.0,15.0,15.0
214201,15.0,15.0,15.0,15.0
214301,15.0,15.0,15.0,15.0
214401,15.0,15.0,15.0,15.0
214501,15.0,15.0,15.0,15.0
215105,30.0,15.0,15.0,15.0
221101,15.0,15.0,15.0,15.0
221102,15.0,15.0,15.0,15.0
221201,15.0,15.0,15.0,15.0
221301,15.0,15.0,15.0,15.0
221401,15.0,15.0,15.0,15.0
222001,15.0,16.0,15.0,15.0
231101,15.0,15.0,15.0,15.0
231201,15.0,15.0,15.0,15.0
231301,15.0,15.0,15.0,15.0
231401,15.0,15.0,15.0,15.0
231501,17.0,15.0,15.0,15.0
232101,15.0,15.0,15.0,15.0
232901,15.0,15.0,15.0,15.0
240101,15.0,15.0,18.0,15.0
240102,15.0,15.0,15.0,15.0
240201,15.0,15.0,15.0,15.0
240301,15.0,15.0,15.0,15.0
250201,15.0,15.0,15.0,15.0
250301,15.0,15.0,15.0,15.0
301004,31.0,15.0,15.0,15.0
301101,15.0,15.0,15.0,15.0
301102,15.0,15.0,15.0,15.0
301103,15.0,15.0,15.0,15.0
301104,15.0,15.0,15.0,15.0
301105,15.0,15.0,15.0,15.0
301106,15.0,15.0,15.0,15.0
301107,15.0,15.0,15.0,15.0
301108,15.0,15.0,15.0,15.0
301109,15.0,15.0,15.0,15.0
301110,15.0,15.0,15.0,15.0
301111,15.0,15.0,15.0,15.0
301112,15.0,15.0,15.0,15.0
301113,15.0,15.0,15.0,15.0
301201,15.0,15.0,15.0,15.0
301301,15.0,15.0,15.0,15.0
301401,15.0,15.0,15.0,15.0
302001,15.0,15.0,15.0,15.0
303001,16.0,15.0,16.0,15.0
303002,15.0,15.0,15.0,15.0
304003,16.0,16.0,16.0,16.0
305001,15.0,15.0,16.0,15.0
306101,15.0,15.0,16.0,15.0
306201,15.0,15.0,15.0,15.0
306301,16.0,15.0,15.0,15.0
306401,15.0,15.0,15.0,15.0
306501,15.0,15.0,15.0,15.0
306502,15.0,15.0,15.0,15.0
306601,15.0,15.0,15.0,15.0
306701,15.0,15.0,15.0,15.0
306901,15.0,15.0,15.0,15.0
306902,15.0,15.0,15.0,15.0
306903,15.0,18.0,18.0,15.0
306904,15.0,15.0,15.0,15.0
307101,15.0,15.0,15.0,15.0
307301,16.0,15.0,15.0,15.0
307401,15.0,15.0,15.0,15.0
307501,15.0,15.0,15.0,15.0
307601,15.0,15.0,17.0,15.0
411102,15.0,16.0,15.0,15.0
411103,15.0,15.0,15.0,15.0
411104,15.0,15.0,15.0,15.0
411201,15.0,15.0,15.0,15.0
411202,16.0,15.0,15.0,15.0
411301,15.0,15.0,15.0,15.0
412001,15.0,15.0,15.0,15.0
412002,15.0,15.0,15.0,15.0
412003,15.0,16.0,15.0,15.0
413101,15.0,15.0,15.0,15.0
413102,15.0,15.0,15.0,15.0
413201,17.0,17.0,15.0,15.0
413202,15.0,15.0,15.0,15.0
414101,15.0,15.0,15.0,15.0
414102,15.0,15.0,15.0,15.0
414201,15.0,15.0,15.0,15.0
414301,15.0,15.0,15.0,15.0
414303,15.0,15.0,15.0,15.0
414401,15.0,15.0,15.0,15.0
414501,15.0,15.0,15.0,15.0
414502,15.0,15.0,15.0,15.0
414503,15.0,15.0,15.0,15.0
414601,15.0,15.0,15.0,15.0
414602,15.0,15.0,15.0,15.0
414701,16.0,15.0,15.0,15.0
414702,15.0,15.0,16.0,15.0
414703,15.0,15.0,15.0,15.0
415101,15.0,15.0,15.0,15.0
415201,15.0,15.0,15.0,15.0
415202,15.0,16.0,15.0,15.0
415301,15.0,15.0,15.0,15.0
415404,46.0,31.0,15.0,15.0
415501,15.0,15.0,15.0,15.0
415502,15.0,15.0,15.0,15.0
415503,16.0,15.0,15.0,15.0
415504,16.0,15.0,15.0,15.0
416101,16.0,15.0,15.0,15.0
416102,15.0,16.0,15.0,15.0
416103,15.0,15.0,15.0,15.0
416104,15.0,15.0,15.0,15.0
416105,15.0,15.0,16.0,15.0
416201,16.0,15.0,15.0,15.0
416202,15.0,15.0,16.0,15.0
416203,15.0,15.0,18.0,15.0
416204,15.0,15.0,15.0,15.0
416205,15.0,15.0,15.0,15.0
416301,15.0,15.0,15.0,15.0
416302,15.0,15.0,15.0,15.0
416401,15.0,15.0,15.0,15.0
416501,15.0,15.0,15.0,15.0
416601,15.0,15.0,15.0,15.0
416701,15.0,15.0,15.0,15.0
417102,15.0,30.0,16.0,15.0
417201,15.0,15.0,15.0,15.0
420101,15.0,15.0,16.0,15.0
420201,15.0,15.0,15.0,15.0
420202,15.0,15.0,15.0,15.0
420301,16.0,17.0,15.0,15.0
420401,15.0,15.0,15.0,15.0
420402,15.0,15.0,15.0,15.0
420403,15.0,15.0,15.0,15.0
511101,15.0,15.0,15.0,15.0
511201,16.0,15.0,15.0,15.0
511301,15.0,15.0,15.0,15.0
511302,15.0,15.0,15.0,15.0
511401,15.0,15.0,15.0,15.0
511402,15.0,15.0,15.0,15.0
511501,15.0,15.0,15.0,15.0
511502,17.0,15.0,15.0,15.0
512102,15.0,15.0,15.0,15.0
512201,15.0,15.0,15.0,15.0
512301,15.0,15.0,15.0,15.0
521101,15.0,15.0,15.0,15.0
521201,15.0,15.0,15.0,15.0
521303,15.0,15.0,15.0,15.0
521304,30.0,30.0,15.0,15.0
522101,15.0,15.0,15.0,15.0
522201,15.0,15.0,15.0,15.0
522202,15.0,15.0,15.0,15.0
523001,15.0,15.0,15.0,15.0
524001,15.0,15.0,15.0,15.0
531201,15.0,15.0,15.0,15.0
531301,15.0,15.0,15.0,15.0
531401,15.0,15.0,15.0,15.0
531501,15.0,15.0,15.0,15.0
531601,15.0,15.0,15.0,15.0
531701,15.0,15.0,15.0,15.0
532101,15.0,15.0,15.0,15.0
532201,15.0,15.0,15.0,15.0
532301,15.0,15.0,15.0,15.0
532401,15.0,15.0,15.0,15.0
541101,15.0,15.0,15.0,15.0
541201,15.0,15.0,15.0,15.0
541301,15.0,15.0,15.0,15.0
542001,15.0,15.0,15.0,15.0
550101,16.0,15.0,15.0,15.0
550201,15.0,15.0,15.0,15.0
561101,15.0,15.0,15.0,15.0
561201,15.0,15.0,15.0,15.0
561301,15.0,15.0,15.0,15.0
561501,15.0,15.0,15.0,15.0
561601,15.0,15.0,16.0,15.0
562101,15.0,15.0,15.0,15.0
562301,15.0,15.0,16.0,15.0
562401,15.0,15.0,15.0,15.0
611001,15.0,15.0,15.0,15.0
612101,16.0,15.0,15.0,15.0
612201,16.0,15.0,15.0,15.0
612301,15.0,15.0,15.0,15.0
612401,15.0,15.0,15.0,15.0
613001,15.0,15.0,15.0,15.0
614001,15.0,15.0,15.0,15.0
615101,15.0,15.0,15.0,15.0
615203,30.0,30.0,15.0,15.0
615301,15.0,15.0,15.0,15.0
615401,15.0,15.0,15.0,15.0
615501,15.0,15.0,15.0,15.0
615601,15.0,15.0,15.0,15.0
615701,15.0,15.0,15.0,15.0
616101,15.0,15.0,15.0,15.0
616201,15.0,15.0,15.0,15.0
617101,15.0,15.0,15.0,15.0
621101,15.0,16.0,15.0,15.0
621102,16.0,16.0,15.0,15.0
621201,15.0,15.0,15.0,15.0
621203,15.0,15.0,15.0,15.0
621301,15.0,15.0,15.0,15.0
621401,15.0,15.0,15.0,15.0
621402,15.0,15.0,15.0,15.0
621403,15.0,15.0,15.0,15.0
621901,15.0,15.0,15.0,15.0
622101,15.0,15.0,15.0,15.0
622201,15.0,15.0,15.0,15.0
622304,45.0,15.0,15.0,15.0
623001,15.0,15.0,17.0,15.0
623002,15.0,15.0,15.0,15.0
624101,20.0,17.0,15.0,15.0
624201,15.0,15.0,15.0,15.0
624301,15.0,15.0,15.0,15.0
624401,15.0,15.0,15.0,15.0
701101,15.0,15.0,15.0,15.0
701201,15.0,15.0,15.0,15.0
701301,15.0,15.0,15.0,15.0
701401,15.0,15.0,15.0,15.0
701501,15.0,15.0,15.0,15.0
701601,15.0,15.0,15.0,15.0
701602,15.0,15.0,15.0,15.0
701701,15.0,15.0,15.0,15.0
702101,15.0,15.0,15.0,15.0
702201,15.0,15.0,15.0,15.0
702301,15.0,15.0,15.0,15.0
702401,15.0,15.0,15.0,15.0
702501,15.0,15.0,15.0,15.0
702502,15.0,15.0,15.0,15.0
702601,15.0,15.0,15.0,15.0
702701,15.0,15.0,15.0,15.0
703101,15.0,15.0,15.0,15.0
703201,18.0,15.0,15.0,15.0
704001,15.0,15.0,15.0,15.0
705101,15.0,15.0,15.0,15.0
705201,15.0,15.0,15.0,15.0
705901,15.0,15.0,15.0,15.0
705902,15.0,15.0,15.0,15.0
706001,15.0,15.0,15.0,15.0
811101,15.0,15.0,15.0,15.0
811201,15.0,15.0,15.0,15.0
811301,15.0,15.0,16.0,15.0
811401,18.0,15.0,16.0,15.0
811501,15.0,15.0,15.0,15.0
811601,15.0,15.0,15.0,15.0
811901,15.0,15.0,15.0,15.0
812101,15.0,15.0,15.0,15.0
812102,15.0,15.0,15.0,15.0
812201,15.0,15.0,15.0,15.0
812301,15.0,15.0,17.0,15.0
812401,15.0,15.0,15.0,15.0
812901,15.0,15.0,15.0,15.0
812902,15.0,15.0,15.0,15.0
813101,15.0,15.0,15.0,15.0
813201,15.0,15.0,15.0,15.0
814001,15.0,15.0,16.0,15.0
815001,15.0,15.0,15.0,15.0
816103,30.0,30.0,15.0,15.0
817101,15.0,15.0,16.0,15.0
817201,15.0,15.0,15.0,15.0
817301,15.0,15.0,15.0,15.0
821101,16.0,15.0,15.0,15.0
821201,15.0,15.0,15.0,15.0
822101,15.0,15.0,15.0,15.0
822301,15.0,15.0,15.0,15.0
823101,15.0,15.0,15.0,15.0
823301,15.0,15.0,15.0,15.0
824101,15.0,15.0,15.0,15.0
825101,15.0,15.0,15.0,15.0
825201,15.0,4.0,15.0,4.0
826101,15.0,15.0,15.0,15.0
826201,15.0,15.0,15.0,15.0
826301,16.0,15.0,15.0,15.0
826401,15.0,15.0,15.0,15.0
831101,15.0,15.0,15.0,15.0
831201,15.0,15.0,15.0,15.0
831301,15.0,15.0,15.0,15.0
832101,15.0,15.0,15.0,15.0
832201,15.0,15.0,15.0,15.0
833001,15.0,15.0,15.0,15.0
834001,15.0,15.0,15.0,15.0
835101,15.0,15.0,16.0,15.0
835201,18.0,15.0,16.0,15.0
836001,15.0,15.0,15.0,15.0
841101,15.0,15.0,15.0,15.0
841201,15.0,15.0,15.0,15.0
842101,15.0,15.0,15.0,15.0
842201,15.0,15.0,15.0,15.0
842301,15.0,15.0,15.0,15.0
851101,15.0,15.0,15.0,15.0
851201,15.0,15.0,15.0,15.0
852101,15.0,15.0,15.0,15.0
852201,15.0,15.0,15.0,15.0
852301,15.0,15.0,15.0,15.0
852401,15.0,15.0,15.0,15.0
853101,17.0,15.0,15.0,15.0
853201,15.0,15.0,15.0,15.0
861101,15.0,15.0,15.0,15.0
861201,15.0,15.0,15.0,15.0
861301,18.0,15.0,15.0,15.0
862101,15.0,15.0,15.0,15.0
862201,15.0,15.0,15.0,15.0
862301,15.0,15.0,15.0,15.0
863101,15.0,15.0,15.0,15.0
863201,17.0,15.0,15.0,15.0
863401,15.0,15.0,15.0,15.0
864101,15.0,15.0,15.0,15.0
864201,15.0,15.0,15.0,15.0
864301,15.0,15.0,16.0,15.0
871101,15.0,15.0,15.0,15.0
871201,15.0,15.0,15.0,15.0
872101,15.0,15.0,15.0,15.0
872201,15.0,15.0,15.0,15.0
872301,15.0,15.0,17.0,15.0
873101,15.0,15.0,15.0,15.0
873201,15.0,15.0,15.0,15.0
873301,15.0,15.0,15.0,15.0
873401,15.0,15.0,15.0,15.0
873501,15.0,15.0,15.0,15.0
881101,15.0,15.0,15.0,15.0
881201,15.0,15.0,15.0,15.0
882101,15.0,15.0,15.0,15.0
882201,15.0,15.0,15.0,15.0
882301,15.0,15.0,15.0,15.0
883101,15.0,15.0,15.0,15.0
883201,15.0,15.0,15.0,15.0
884101,15.0,15.0,15.0,15.0
884201,15.0,15.0,15.0,15.0
885101,15.0,15.0,15.0,15.0
885201,15.0,15.0,15.0,15.0
885902,15.0,15.0,15.0,15.0
901101,15.0,15.0,15.0,15.0
901201,15.0,15.0,15.0,15.0
901301,15.0,15.0,15.0,15.0
901401,15.0,15.0,16.0,15.0
901501,15.0,15.0,15.0,15.0
902101,16.0,15.0,15.0,15.0
902201,15.0,15.0,15.0,15.0
903101,15.0,15.0,15.0,15.0
904101,15.0,15.0,15.0,15.0
904201,15.0,15.0,15.0,15.0
